ID,Treatment,Sex,Population,MCINXTMP_015706,MCINXTMP_013226,MCINXTMP_013649,MCINXTMP_011911,MCINXTMP_008839,MCINXTMP_002957,MCINXTMP_005765,MCINXTMP_005882,MCINXTMP_008560,MCINXTMP_001012,MCINXTMP_003068,MCINXTMP_011662,MCINXTMP_005526,MCINXTMP_013320,MCINXTMP_000554,MCINXTMP_011576,MCINXTMP_013272,MCINXTMP_001679,MCINXTMP_007636,MCINXTMP_003690,MCINXTMP_003458,MCINXTMP_002038,MCINXTMP_007341,MCINXTMP_011939,MCINXTMP_005553,MCINXTMP_010227,MCINXTMP_007822,MCINXTMP_012643,MCINXTMP_008817,MCINXTMP_009372,MCINXTMP_012093,MCINXTMP_000102,MCINXTMP_011030,MCINXTMP_001818,MCINXTMP_014090,MCINXTMP_008457,MCINXTMP_007672,MCINXTMP_004099,MCINXTMP_007295,MCINXTMP_000022,MCINXTMP_015213,MCINXTMP_003108,MCINXTMP_010509,MCINXTMP_013625,MCINXTMP_005845,MCINXTMP_009277,MCINXTMP_012616,MCINXTMP_000503,MCINXTMP_011176,MCINXTMP_001509
PT11_123_5,Flight1h,Male,PT,4.783,2.87,4.544,3.587,22.242,36.592,4.305,136.801,1.435,12.915,19.611,215.964,1.435,3.109,27.025,0,82.272,3.827,28.46,9.327,7.175,9.567,5.262,3.827,0,32.048,1.435,0.239,0.478,29.895,0,90.643,7.653,0,1.913,16.502,1185.293,39.462,35.396,29.417,1039.403,2.392,27.504,24.395,7.892,13.154,55.008,0,0,0
PT11_136_3,Control1h,Male,PT,13.303,7.256,1.612,0.806,23.381,24.59,4.837,167.292,9.272,33.458,14.915,222.518,1.209,0.403,466.401,0,126.174,2.822,13.706,0.806,8.062,10.884,0.806,1.209,0.806,25.396,5.644,0.403,0.403,19.752,0,108.437,4.031,0,2.016,9.675,1817.633,42.327,56.033,51.195,805.015,14.512,12.496,24.993,12.9,2.016,29.024,0,3.225,0.806
PT11_147_3,Flight1h,Male,PT,3.617,11.063,3.404,8.51,26.594,48.295,4.468,214.667,2.128,21.275,17.658,240.836,1.489,1.915,269.132,0,146.161,5.106,8.936,18.297,6.383,15.105,0,4.042,0.851,30.211,0,0.851,0.638,13.829,4.042,165.308,4.042,0.213,0.426,9.361,1195.029,40.21,57.869,20.211,1216.092,12.552,28.083,19.786,2.979,4.255,63.4,0.426,0,0.213
PT11_15_3,Flight20h,Male,PT,1.836,4.896,1.836,6.12,28.456,41.919,2.448,159.416,1.224,48.957,18.971,290.375,0.306,0.306,64.562,0,94.242,2.448,7.038,6.12,2.142,9.179,0.918,0.612,1.836,25.702,9.485,0,0.918,37.024,0,78.637,6.12,0,0.918,12.545,1028.706,33.352,26.926,67.622,880.917,1.836,20.807,28.15,2.448,3.672,70.681,0,0.306,0
PT11_159_2,Flight20h,Male,PT,9.453,45.493,4.53,1.182,38.6,39.585,4.727,262.913,1.969,28.359,30.132,147.113,1.576,5.711,336.568,0,84.684,2.954,6.105,2.757,0.394,19.694,2.757,1.772,0.394,69.125,0.788,0.985,0.197,58.294,8.468,178.032,2.363,0,0.591,10.832,744.23,61.445,69.716,34.464,861.212,7.09,52.976,19.497,4.136,1.969,81.926,0.197,3.742,0.197
PT11_26_3,Control1h,Male,PT,4.043,3.369,3.032,1.348,31.332,25.605,0.674,192.708,4.717,28.3,2.695,398.219,4.38,2.021,310.287,0,260.762,3.706,12.465,5.727,5.054,23.92,3.369,2.695,1.348,50.872,2.021,0,0,21.899,2.021,129.034,3.032,0,0.337,9.77,1324.026,30.321,80.857,24.931,949.391,14.15,27.963,14.487,7.075,2.695,68.391,0.674,0,0
PT11_28_5,Flight1h,Male,PT,9.008,3.003,4.64,8.189,18.288,35.485,7.643,145.215,1.365,22.656,13.102,570.762,1.092,1.092,138.937,0.273,146.58,2.457,13.648,2.184,3.821,10.1,0,3.821,1.092,20.745,7.37,0,0.273,9.827,0,137.3,4.913,0,1.911,21.837,1813.009,80.797,55.684,49.406,1165.545,10.918,20.199,17.47,1.365,6.005,57.322,0,3.276,0.546
PT11_5_3,Flight20h,Male,PT,8.577,3.916,2.61,2.61,60.971,29.646,2.051,195.218,2.051,35.613,17.9,194.659,1.119,2.051,136.299,0,96.397,0,13.425,2.983,4.848,6.526,0.932,2.237,1.119,21.629,0.559,0,0.746,41.02,6.339,98.635,1.678,0,4.102,18.459,729.226,42.512,44.003,28.341,792.061,8.018,24.612,32.443,13.238,5.78,37.477,0.373,4.475,0.559
PT11_56_3,Control20h,Male,PT,4.233,7.256,0,42.025,43.234,30.234,7.558,156.308,5.442,19.652,29.629,179.286,9.07,3.628,204.682,0,96.748,2.116,5.744,7.256,1.512,14.815,4.233,5.442,0,31.745,0,0.907,0.302,37.188,6.651,109.446,7.256,0,1.512,9.977,1106.858,26.001,24.792,100.376,556.603,6.954,30.838,10.279,15.722,1.209,29.931,0,0.605,0
PT11_60_3,Control1h,Male,PT,7.214,6.973,4.328,0.481,14.428,29.818,4.088,161.351,0,26.932,14.428,308.035,1.924,4.088,180.108,0,84.643,2.645,11.542,1.924,4.569,12.023,0.962,4.809,3.366,31.02,5.05,0,0,41.119,2.405,134.179,4.328,0,2.645,12.023,1097.719,31.26,73.822,146.683,676.907,9.859,36.31,27.172,23.806,2.645,61.559,1.443,0,0.721
PT11_67_3,Flight1h,Male,PT,3.606,7.869,1.311,0.328,17.377,45.901,10.164,182.947,0.656,14.098,16.393,233.11,0.656,0.656,263.929,0,178.685,0.656,20.983,5.574,1.967,12.459,2.295,7.213,0,6.885,6.229,0,0,25.573,0.656,136.718,0.984,0,0,5.902,888.178,27.213,33.114,61.638,794.082,8.524,29.508,9.836,4.59,2.623,27.213,0.984,4.262,0.656
PT11_73_5,Flight1h,Male,PT,14.473,3.277,2.458,2.185,17.477,70.729,3.004,159.481,0.819,14.473,17.75,225.84,5.462,2.458,701.278,0,203.72,2.458,12.289,0.273,1.092,7.646,0.819,2.185,0,60.898,7.373,0,0,26.762,3.823,172.862,2.458,0,1.365,8.739,621.265,33.589,47.79,46.697,732.956,7.1,20.208,27.855,9.012,4.369,27.855,0,1.912,0.546
PT11_74_4,Flight20h,Male,PT,3.957,5.441,2.473,0,10.387,29.677,0,125.631,4.946,18.301,19.29,477.794,0,2.473,82.6,0,56.88,6.925,10.881,0,0,7.419,0.989,3.462,0,36.601,8.408,2.473,0,11.376,7.419,165.2,2.473,0,7.914,25.225,1338.416,47.483,13.849,98.427,1178.162,7.914,27.204,7.419,7.419,3.462,30.171,0,0.495,1.484
PT11_76_3,Flight20h,Male,PT,8.683,0.457,6.17,0,29.477,54.383,12.339,210.221,7.998,20.565,16.681,340.467,2.742,2.285,21.708,0,66.722,0.914,7.998,1.6,4.342,13.482,5.256,3.656,4.113,49.585,2.971,0.686,0.229,29.705,0,151.268,1.828,0,0.229,9.369,1274.123,35.418,52.555,85.688,685.961,3.885,37.474,11.882,6.398,8.683,37.246,0,6.17,0.686
PT11_83_3,Control20h,Male,PT,1.763,10.933,0.353,0.705,46.729,53.606,1.587,218.831,4.761,29.272,7.053,190.441,6.877,4.937,357.959,0,93.986,2.469,3.879,1.234,2.821,13.401,3.703,7.406,0,57.309,2.998,0.705,0.176,69.123,5.819,107.388,1.411,0,1.411,7.406,285.309,31.388,62.07,23.452,603.24,10.756,18.868,19.044,17.457,13.225,94.515,1.058,0.529,0.353
PT11_97_4,Flight1h,Male,PT,7.288,1.005,2.513,6.785,17.089,64.335,11.058,304.082,3.518,13.068,12.314,369.422,2.262,3.77,204.816,0,130.931,1.005,4.775,4.272,5.026,6.534,3.77,2.764,0,42.722,1.005,0.754,0,18.345,2.01,193.507,3.518,0.251,0.754,10.555,1250.758,50.764,84.188,25.382,953.461,10.555,20.356,8.544,13.319,0.251,49.508,0,0.503,0.754
