Sort,Year,State,Chlamydia_Count,Chlamydia_Rate,Chlamydia_RankByCount,Chlamydia_RankByRate,Gonorrhea_Count,Gonorrhea_Rate,Gonorrhea_RankByCount,Gonorrhea_RankByRate,Primary_Secondary_Syphilis_Count,Primary_Secondary_Syphilis_Rate,Primary_Secondary_Syphilis_RankByCount,Primary_Secondary_Syphilis_RankByRate
5,2003,California,117428,330.9,1,13,25963,73.2,1,31,1299,3.7,1,6
6,2003,Colorado,13039,286.5,22,25,2854,62.7,29,34,39,0.9,29,21
7,2003,Connecticut,9393,269.7,28,31,3114,89.4,27,28,30,0.9,31,21
8,2003,Delaware,3035,371.3,40,9,1128,138,37,13,7,0.9,40,21
9,2003,Florida,42382,249,6,36,18974,111.5,6,17,658,3.9,2,4
10,2003,Georgia,35686,410.9,8,5,17686,203.6,7,5,585,6.7,4,1
11,2003,Hawaii,5480,435.7,36,3,1263,100.4,35,21,14,1.1,36,20
12,2003,Idaho,2366,173.2,45,45,68,5,49,49,15,1.1,35,20
13,2003,Illinois,48294,381.7,4,7,21817,172.4,5,8,374,3,6,9
14,2003,Indiana,17075,275.6,16,28,6681,107.8,19,19,50,0.8,25,22
15,2003,Iowa,6491,220.5,34,38,1554,52.8,34,36,12,0.4,37,25
16,2003,Kansas,7249,266.2,33,32,2647,97.2,31,23,25,0.9,32,21
17,2003,Kentucky,7981,193.8,29,41,3578,86.9,25,30,33,0.8,30,22
18,2003,Louisiana,20970,466.4,11,2,11850,263.5,11,1,183,4.1,11,3
19,2003,Maine,2030,155.5,46,48,233,17.8,43,42,8,0.6,39,23
20,2003,Maryland,16831,305.5,17,21,8032,145.8,17,11,312,5.7,7,2
21,2003,Massachusetts,11301,175.7,25,44,2901,45.1,28,38,133,2.1,16,12
22,2003,Michigan,32572,323.1,9,16,13965,138.5,9,12,249,2.5,8,10
23,2003,Minnesota,10714,211.8,27,40,3202,63.3,26,33,47,0.9,27,21
24,2003,Mississippi,12193,423.2,24,4,6328,219.6,20,2,40,1.4,28,18
25,2003,Missouri,18570,325.5,14,15,8792,154.1,14,10,61,1.1,23,20
26,2003,Montana,2547,277.6,44,27,122,13.3,46,46,0,0,43,
27,2003,Nebraska,4739,272.5,37,30,1623,93.3,33,25,10,0.6,38,23
28,2003,Nevada,5830,260.1,35,35,2221,99.1,32,22,12,0.5,37,24
29,2003,New Hampshire,1616,125.5,48,50,125,9.7,45,47,19,1.5,33,17
30,2003,New Jersey,16169,187.2,19,43,7944,92,18,26,170,2,12,13
31,2003,New Mexico,7480,399,32,6,1169,62.4,36,35,71,3.8,21,5
32,2003,New York,57222,298.2,3,23,22166,115.5,4,16,584,3,5,9
33,2003,North Carolina,26187,311.5,10,20,15116,179.8,8,7,152,1.8,14,15
34,2003,North Dakota,1655,261.1,47,34,103,16.3,47,44,2,0.3,41,26
35,2003,Ohio,42522,371.8,5,8,22537,197.1,3,6,197,1.7,9,16
36,2003,Oklahoma,11013,313.6,26,18,4552,129.6,22,14,64,1.8,22,15
37,2003,Oregon,7688,216,31,39,1000,28.1,38,41,48,1.3,26,19
38,2003,Pennsylvania,37291,301.6,7,22,11866,96,10,24,159,1.3,13,19
39,2003,Rhode Island,3000,278.8,41,26,973,90.4,39,27,33,3.1,30,8
40,2003,South Carolina,14623,352.6,20,10,8518,205.4,16,4,94,2.3,18,11
41,2003,South Dakota,2608,341.2,42,12,226,29.6,44,40,2,0.3,41,26
42,2003,Tennessee,20380,348.9,12,11,8519,145.8,15,11,135,2.3,15,11
43,2003,Texas,69200,312.9,2,19,24595,111.2,2,18,654,3,3,9
44,2003,Utah,3893,165.6,39,47,412,17.5,42,43,14,0.6,36,23
45,2003,Vermont,1060,171.2,49,46,97,15.7,48,45,1,0.2,42,27
