Line,WellC,PLATE,RIL,Treat,Lipid.per.Fly
168HS,A7,EPSILON 2,168,HS,0.409399284
170C,G1,LAMBDA1,170,C,0.597241518
170C,G6,LAMBDA1,170,C,0.653594189
170DR,G3,LAMBDA1,170,DR,0.766299529
170DR,G8,LAMBDA1,170,DR,0.302955351
170HS,G2,LAMBDA1,170,HS,0.340523798
170HS,G7,LAMBDA1,170,HS,0.290432536
172C,E10,PLATE1,172,C,0.553411664
172C,NA,PLATE1,172,C,0.565934479
172DR,F1,PLATE1,172,DR,0.760038121
172DR,NA,PLATE1,172,DR,0.68923582
172HS,E9,PLATE1,172,HS,0.144493341
172HS,NA,PLATE1,172,HS,0.266590793
176C,H3,THETA 2,176,C,0.407472469
176C,H8,THETA 2,176,C,0.266590793
176DR,H4,THETA 2,176,DR,0.341727687
176DR,H9,THETA 2,176,DR,0.378092245
176HS,H2,THETA 2,176,HS,0.415660692
176HS,H7,THETA 2,176,HS,0.803867976
179C,F3,PLATE1,179,C,0.266590793
179C,NA,PLATE1,179,C,1.299723081
179DR,F4,PLATE1,179,DR,1.046136065
179DR,NA,PLATE1,179,DR,0.492001474
179HS,F2,PLATE1,179,HS,0.853959238
179HS,NA,PLATE1,179,HS,0.47827477
17C,A1,ZETA 1,17,C,1.041801473
17C,A6,ZETA 1,17,C,0.73499249
17DR,A3,ZETA 1,17,DR,1.292257785
17DR,A8,ZETA 1,17,DR,1.098154143
17HS,A2,ZETA 1,17,HS,1.217120891
17HS,A7,ZETA 1,17,HS,1.041801473
182C,C5,THETA 2,182,C,1.918398566
182C,C10,THETA 2,182,C,1.542714097
182DR,D1,THETA 1,182,DR,1.692987885
182DR,D6,THETA 1,182,DR,0.929096132
182HS,C4,THETA 2,182,HS,0.87900487
182HS,C9,THETA 2,182,HS,1.267212154
183C,E1,ZETA 1,183,C,0.99171021
183C,E6,ZETA 1,183,C,2.243991772
183DR,E3,ZETA 1,183,DR,2.394265559
183DR,E8,ZETA 1,183,DR,1.298519193
183HS,E2,ZETA 1,183,HS,1.060585696
183HS,E7,ZETA 1,183,HS,1.179552444
185C,D3,THETA 1,185,C,2.068672353
185C,D8,THETA 1,185,C,2.024842498
185DR,D4,THETA 1,185,DR,0.847697831
185DR,D9,THETA 1,185,DR,0.753776714
185HS,D2,THETA 1,185,HS,1.455054388
185HS,D7,THETA 1,185,HS,1.523929874
187C,F6,PLATE1,187,C,0.929096132
187C,NA,PLATE1,187,C,0.747515306
187DR,F7,PLATE1,187,DR,1.404963126
187DR,NA,PLATE1,187,DR,0.972925987
187HS,F5,PLATE1,187,HS,1.07936992
187HS,NA,PLATE1,187,HS,0.929096132
189C,D1,THETA 2,189,C,1.167029629
189C,D6,THETA 2,189,C,0.828913607
189DR,D2,THETA 2,189,DR,2.156332062
189DR,D7,THETA 2,189,DR,1.761863371
189HS,D5,THETA 1,189,HS,0.64107137300000006
189HS,D10,THETA 1,189,HS,0.853959238
18C,G2,PLATE1,18,C,1.361133271
18C,NA,PLATE1,18,C,1.555236913
18DR,G3,PLATE1,18,DR,0.872743462
18DR,NA,PLATE1,18,DR,0.904050501
18HS,G1,PLATE1,18,HS,1.060585696
18HS,NA,PLATE1,18,HS,0.910311909
190C,D4,THETA 2,190,C,1.887091527
190C,D9,THETA 2,190,C,1.430008757
190DR,D5,THETA 2,190,DR,1.561498321
190DR,D10,THETA 2,190,DR,1.711772108
190HS,D3,THETA 2,190,HS,1.492622835
190HS,D8,THETA 2,190,HS,1.442531572
191C,C3,EPSILON 2,191,C,1.467577204
191C,C8,EPSILON 2,191,C,0.947880356
191DR,C4,EPSILON 2,191,DR,1.636635214
191DR,C9,EPSILON 2,191,DR,1.311042008
191HS,C2,EPSILON 2,191,HS,0.822652199
191HS,C7,EPSILON 2,191,HS,1.073108512
193C,E2,THETA 1,193,C,1.686726477
193C,E7,THETA 1,193,C,1.373656087
